planet name,is_berger,rocky planet name,rocky period,rocky per err,rocky rad,rocky rad err,rocky planet mass,rocky planet mass err,env planet name,env period,env per err,env rad,env rad err,env planet mass,env planet mass err,env mass flag,planet reference,star mass,star mass err,star age,star age err,star rad,star rad err,star temp,star temp err,star met,star met err,PEprob,CPMLprob,PRVprob,PE min mass,CPML min mass,PRV min mass
HD 23472,1,HD 23472 d,3.97664,3.70E-05,0.758327115,0.062821158,0.55,0.205,HD 23472 f,12.1621839,0.0001095,1.149546128,0.07362754,0.77,0.42,0,<a refstr=BARROS_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220913345B/abstract target=ref>Barros et al. 2022</a>,0.716532807,0.040098638,11.672,9.704,0.713054567,0.022820319,4705.633184,105.8147873,-0.069482496,0.13356899,0.32623,0.369719,0.721328,20,0.814280789,0.515922731
HD 23472,1,HD 23472 d,3.97664,3.70E-05,0.758327115,0.062821158,0.55,0.205,HD 23472 c,29.79749,0.000135,1.889984501,0.101626426,3.41,0.845,0,<a refstr=BARROS_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220913345B/abstract target=ref>Barros et al. 2022</a>,0.716532807,0.040098638,11.672,9.704,0.713054567,0.022820319,4705.633184,105.8147873,-0.069482496,0.13356899,0.591431,0.887823,0.999729,0.134729103,0.476968851,0.483634303
HD 23472,1,HD 23472 d,3.97664,3.70E-05,0.758327115,0.062821158,0.55,0.205,HD 23472 b,17.667087,4.20E-05,2.019872325,0.089454134,8.32,0.785,0,<a refstr=BARROS_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220913345B/abstract target=ref>Barros et al. 2022</a>,0.716532807,0.040098638,11.672,9.704,0.713054567,0.022820319,4705.633184,105.8147873,-0.069482496,0.13356899,0.890604,0.898173,1,0.16361803,0.59738336,0.510318362
HD 23472,1,HD 23472 e,7.90754,0.00011,0.82832654,0.069067275,0.72,0.275,HD 23472 f,12.1621839,0.0001095,1.149546128,0.07362754,0.77,0.42,0,<a refstr=BARROS_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220913345B/abstract target=ref>Barros et al. 2022</a>,0.716532807,0.040098638,11.672,9.704,0.713054567,0.022820319,4705.633184,105.8147873,-0.069482496,0.13356899,0.017191,0.132484,0.65017,20,20,0.585634764
HD 23472,1,HD 23472 e,7.90754,0.00011,0.82832654,0.069067275,0.72,0.275,HD 23472 c,29.79749,0.000135,1.889984501,0.101626426,3.41,0.845,0,<a refstr=BARROS_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220913345B/abstract target=ref>Barros et al. 2022</a>,0.716532807,0.040098638,11.672,9.704,0.713054567,0.022820319,4705.633184,105.8147873,-0.069482496,0.13356899,0.875811,0.874488,0.999644,0.325964293,0.840973006,0.537207009
HD 23472,1,HD 23472 e,7.90754,0.00011,0.82832654,0.069067275,0.72,0.275,HD 23472 b,17.667087,4.20E-05,2.019872325,0.089454134,8.32,0.785,0,<a refstr=BARROS_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220913345B/abstract target=ref>Barros et al. 2022</a>,0.716532807,0.040098638,11.672,9.704,0.713054567,0.022820319,4705.633184,105.8147873,-0.069482496,0.13356899,0.882119,0.881773,1,0.476377801,1.05850381,0.566714216
HD 260655,1,HD 260655 b,2.76953,3.00E-05,1.254891924,0.061161183,2.14,0.34,HD 260655 c,5.70588,7.00E-05,1.552843835,0.085555343,3.09,0.48,0,<a refstr=LUQUE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220410261L/abstract target=ref>Luque et al. 2022</a>,0.439646727,0.01422332,13.503,9.922,0.444885858,0.020187216,3729.573882,67.57119685,-0.501347602,0.11657526,0.759544,0.798293,0.965738,1.485525199,2.358213724,1.947819677
HD 28109,1,HD 28109 b,22.89104,0.000355,2.153540638,0.108484262,18.496,8.3645,HD 28109 d,84.25999,0.00703,2.987458526,0.143436515,5.681,2.424,0,<a refstr=DRANSFIELD_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.1364D/abstract target=ref>Dransfield et al. 2022</a>,1.241670671,0.061298008,2.234,1.466,1.370124043,0.06098073,6362.796459,176.7211174,0.01776856,0.146383656,0.16318,0.000379,0.862874,8.46433899,18.70271877,1
HD 28109,1,HD 28109 b,22.89104,0.000355,2.153540638,0.108484262,18.496,8.3645,HD 28109 c,56.00819,0.00198,3.933462151,0.179658368,7.943,3.6365,0,<a refstr=DRANSFIELD_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.1364D/abstract target=ref>Dransfield et al. 2022</a>,1.241670671,0.061298008,2.234,1.466,1.370124043,0.06098073,6362.796459,176.7211174,0.01776856,0.146383656,0.062867,0.000489,0.602242,15.12805958,28.69771478,1
K2-133,,K2-133 b,3.07133,0.00011,1.34,0.0765,,,K2-133 c,4.86784,0.00012,1.603,0.089,,,,<a refstr=WELLS_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.487.1865W/abstract target=ref>Wells et al. 2019</a>,0.4605,0.01205,5,2,0.4639,0.01205,3560,67,,,0,0,0,20,3.101171408,2.729950718
