planet name,is_berger,rocky planet name,rocky period,rocky per err,rocky rad,rocky rad err,rocky planet mass,rocky planet mass err,env planet name,env period,env per err,env rad,env rad err,env planet mass,env planet mass err,env mass flag,planet reference,star mass,star mass err,star age,star age err,star rad,star rad err,star temp,star temp err,star met,star met err,PEprob,CPMLprob,PRVprob,PE min mass,CPML min mass,PRV min mass,PE200prob,PE1000prob,CPML900prob,CPML1100prob,PRV10prob
K2-266,1.0,K2-266 c,7.814,0.00175,0.703572485,0.090055414,,,K2-266 d,14.697,0.000345,2.926708587,0.094292268,8.9,4.75,0.0,<a refstr=RODRIGUEZ_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..245R/abstract target=ref>Rodriguez et al. 2018</a>,0.716946909,0.040507437,11.943,9.5025,0.701119129,0.01930717,4395.976456,58.20748041,0.27740743,0.112240926,0.836544,0.84708,0.961526,0.610754346,1.12331289,0.389328415,0.840195,0.867357,0.839872,0.84385,0.953026
K2-3,,K2-3 d,44.55603,0.000125,1.49378,0.05202,2.2,,K2-3 c,24.646729,4.3e-05,1.62126,0.05339,2.68,0.85,0.0,<a refstr=DIAMOND_LOWE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164..172D/abstract target=ref>Diamond-Lowe et al. 2022</a>,0.5389,0.10695,6.9,4.7,0.5592,0.01714,3803.0,36.0,-0.157,0.0775,0.0,0.000415,0.00348,20.0,20.0,20.0,0.0,0.0,0.000118,0.000192,0.001188
K2-3,,K2-3 d,44.55603,0.000125,1.49378,0.05202,2.2,,K2-3 b,10.0546535,8.95e-06,2.12874,0.06934,5.11,0.645,0.0,<a refstr=DIAMOND_LOWE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164..172D/abstract target=ref>Diamond-Lowe et al. 2022</a>,0.5389,0.10695,6.9,4.7,0.5592,0.01714,3803.0,36.0,-0.157,0.0775,0.0,1.2e-05,0.030219,20.0,9.7112684,7.1428748,0.0,0.0,2e-06,0.0,0.00642
K2-32,1.0,K2-32 e,4.34934,0.00039,1.088508216,0.055072982,2.1,1.2,K2-32 c,20.66093,0.000795,2.81127856,0.120155941,8.1,2.4,0.0,<a refstr=LILLO_BOX_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...640A..48L/abstract target=ref>Lillo-Box et al. 2020</a>,0.734695059,0.058329724,15.697,10.189,0.77120215,0.030420239,4955.318718,158.1751375,-0.17752586,0.136174311,0.939741,0.928718,0.998346,1.0322752,2.677380667,1.035909661,0.953425,0.933999,0.927474,0.908712,0.998509
K2-32,1.0,K2-32 e,4.34934,0.00039,1.088508216,0.055072982,2.1,1.2,K2-32 d,31.71701,0.000985,3.115791677,0.132233032,6.7,2.5,0.0,<a refstr=LILLO_BOX_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...640A..48L/abstract target=ref>Lillo-Box et al. 2020</a>,0.734695059,0.058329724,15.697,10.189,0.77120215,0.030420239,4955.318718,158.1751375,-0.17752586,0.136174311,0.92878,0.885024,0.988819,0.957128586,2.691229311,1.0,0.914465,0.928459,0.883927,0.878969,0.988607
K2-36,,K2-36 b,1.422614,3.8e-05,1.43,0.08,4.3,1.4,K2-36 c,5.340888,8.6e-05,3.2,0.3,7.9,2.8,0.0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,0.6944,0.22328,1.4,0.45,0.5159,0.01622,4953.0,71.0,-0.09,0.05,0.984619,0.849179,0.970082,1.746956995,4.700183216,2.508498766,0.981566,0.985226,0.840519,0.8517,0.972925
K2-38,1.0,K2-38 b,4.01593,0.0005,1.539523163,0.105673887,7.7,1.15,K2-38 c,10.56103,0.0009,2.316261441,0.221601763,7.4,1.35,0.0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,1.07362263,0.060323057,2.72,2.8665,1.060216436,0.037781452,5913.987758,125.7105176,0.06029203,0.138309657,0.804495,0.714435,0.973066,2.796112859,5.451038538,3.850913374,0.81734,0.803489,0.709488,0.726269,0.975426
Kepler-10,1.0,Kepler-10 b,0.8374907,2e-07,1.428150942,0.067181403,3.26,0.3,Kepler-10 c,45.294301,4.8e-05,2.287956098,0.102598401,11.4,1.3,0.0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,0.993424692,0.069577393,5.134,4.3895,1.029589477,0.044099719,5763.698563,145.1506878,0.016788301,0.140115954,0.871988,0.871476,1.0,0.185758923,1.536708693,1.198453946,0.877454,0.887031,0.878919,0.895892,1.0
Kepler-102,1.0,Kepler-102 b,5.286965,1.2e-05,0.466938772,0.033168655,1.1,,Kepler-102 e,16.1456994,2.2e-06,2.202732935,0.146457266,4.7,1.8,0.0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,0.737153174,0.041887083,10.592,9.62,0.730694891,0.024008262,4758.978621,86.16036235,0.003911746,0.13901906,0.008886,0.85014,0.919574,20.0,0.333582351,0.146944241,0.000994,0.023988,0.854044,0.860194,0.901874
Kepler-102,1.0,Kepler-102 c,7.071392,2.2e-05,0.575552801,0.037696845,1.7,,Kepler-102 e,16.1456994,2.2e-06,2.202732935,0.146457266,4.7,1.8,0.0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,0.737153174,0.041887083,10.592,9.62,0.730694891,0.024008262,4758.978621,86.16036235,0.003911746,0.13901906,0.814793,0.846641,0.993508,0.133573441,0.413537343,0.234663121,0.812451,0.827918,0.848519,0.868602,0.993458
Kepler-102,1.0,Kepler-102 d,10.311767,4.1e-06,1.171407271,0.077501082,3.0,1.3,Kepler-102 e,16.1456994,2.2e-06,2.202732935,0.146457266,4.7,1.8,0.0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,0.737153174,0.041887083,10.592,9.62,0.730694891,0.024008262,4758.978621,86.16036235,0.003911746,0.13901906,0.811757,0.655307,0.943577,1.82724489,3.42496721,1.75083185,0.802389,0.818658,0.65365,0.671173,0.945704
Kepler-102,1.0,Kepler-102 f,27.453592,6e-05,0.873987614,0.043734848,4.3,,Kepler-102 e,16.1456994,2.2e-06,2.202732935,0.146457266,4.7,1.8,0.0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,0.737153174,0.041887083,10.592,9.62,0.730694891,0.024008262,4758.978621,86.16036235,0.003911746,0.13901906,0.820871,0.782224,0.984325,1.577009797,2.267826553,0.804076918,0.832139,0.840746,0.792088,0.782358,0.983799
Kepler-106,1.0,Kepler-106 b,6.16486,4.2e-05,0.802891673,0.025053144,5.3,,Kepler-106 c,13.5708,1.3e-05,2.445170094,0.076298212,10.44,3.2,0.0,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,1.035677727,0.051282507,2.072,2.3255,1.013890677,0.031637082,6117.143925,126.1417872,-0.223606955,0.134723021,0.827252,0.826995,0.998998,0.346826092,0.891241616,0.58144107,0.823903,0.814654,0.827449,0.806914,0.999036
Kepler-106,1.0,Kepler-106 b,6.16486,4.2e-05,0.802891673,0.025053144,5.3,,Kepler-106 e,43.8445,8.6e-05,2.508207044,0.078265194,11.17,5.8,0.0,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,1.035677727,0.051282507,2.072,2.3255,1.013890677,0.031637082,6117.143925,126.1417872,-0.223606955,0.134723021,0.782986,0.778505,0.96644,0.135265314,0.573120258,0.533713548,0.806881,0.790562,0.794267,0.79905,0.967559
Kepler-106,1.0,Kepler-106 d,23.9802,7.2e-05,0.924541926,0.028849075,8.1,,Kepler-106 c,13.5708,1.3e-05,2.445170094,0.076298212,10.44,3.2,0.0,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,1.035677727,0.051282507,2.072,2.3255,1.013890677,0.031637082,6117.143925,126.1417872,-0.223606955,0.134723021,0.812921,0.81108,0.998533,1.769084572,2.294179896,0.961383343,0.819128,0.830147,0.817007,0.800572,0.998428
Kepler-106,1.0,Kepler-106 d,23.9802,7.2e-05,0.924541926,0.028849075,8.1,,Kepler-106 e,43.8445,8.6e-05,2.508207044,0.078265194,11.17,5.8,0.0,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,1.035677727,0.051282507,2.072,2.3255,1.013890677,0.031637082,6117.143925,126.1417872,-0.223606955,0.134723021,0.78905,0.780438,0.963784,0.929573919,1.589262958,0.760800562,0.790237,0.79005,0.809464,0.777115,0.963697
Kepler-107,1.0,Kepler-107 b,3.1800218,2.9e-06,1.448440842,0.07655979,3.8,1.75,Kepler-107 e,14.749143,1.9e-05,2.737515371,0.141566316,14.1,3.3,0.0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,1.174119245,0.074028699,4.164,2.338,1.367033016,0.068096329,5996.385043,182.0390449,0.147309432,0.132135579,0.964471,0.949687,0.999704,1.876176489,4.402725903,2.567639462,0.968014,0.965249,0.940997,0.945343,0.999745
Kepler-107,1.0,Kepler-107 c,4.901452,0.0,1.505963495,0.07960233,10.0,2.0,Kepler-107 e,14.749143,1.9e-05,2.737515371,0.141566316,14.1,3.3,0.0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,1.174119245,0.074028699,4.164,2.338,1.367033016,0.068096329,5996.385043,182.0390449,0.147309432,0.132135579,0.962929,0.940903,0.99918,2.795710148,5.774412915,3.410122319,0.960229,0.955587,0.94043,0.934768,0.999256
